Территория;Зарегистрировано;Раскрыто всего;Раскрываемость %;Не раскрыто;ФО
Белгородская область;16099;9237;62,1;5636;Центральный ФО
Брянская область;14082;9759;71,5;3893;Центральный ФО
Владимирская область;15986;7873;50,4;7736;Центральный ФО
Воронежская область;28302;12440;43,8;15944;Центральный ФО
Ивановская область;11794;6862;59,1;4755;Центральный ФО
Калужская область;13295;6674;50,4;6581;Центральный ФО
Костромская область;8559;4193;52,1;3848;Центральный ФО
Курская область;12936;7290;57,4;5417;Центральный ФО
Липецкая область;14184;6989;49,4;7146;Центральный ФО
г. Москва;133985;46280;34,4;88434;Центральный ФО
Московская область;70273;45531;66,6;22812;Центральный ФО
Орловская область;7956;3559;46,3;4125;Центральный ФО
Рязанская область;8843;5235;61,4;3287;Центральный ФО
Смоленская область;14917;6140;44,4;7685;Центральный ФО
Тамбовская область;14073;8831;64,0;4975;Центральный ФО
Тверская область;18397;7581;43,7;9758;Центральный ФО
Тульская область;16070;7546;47,7;8263;Центральный ФО
Ярославская область;18034;8844;47,7;9700;Центральный ФО
Республика Карелия;11093;6141;54,8;5072;Северо-Западный ФО
Республика Коми;15487;8953;59,6;6060;Северо-Западный ФО
Архангельская обл.(без а/о);17270;8618;51,3;8191;Северо-Западный ФО
Ненецкий АО;816;455;56,7;347;Северо-Западный ФО
Вологодская область;17247;9417;52,5;8506;Северо-Западный ФО
Калининградская область;13066;5979;48,2;6429;Северо-Западный ФО
Ленинградская область;25051;12018;46,5;13817;Северо-Западный ФО
г. Санкт-Петербург;67026;27474;41,3;39122;Северо-Западный ФО
Мурманская область;12477;5532;47,3;6161;Северо-Западный ФО
Новгородская область;11362;5079;45,4;6098;Северо-Западный ФО
Псковская область;8918;4943;58,0;3581;Северо-Западный ФО
Ставропольский край;33261;15523;46,5;17861;Северо-Кавказский ФО
Республика Ингушетия;2116;1380;63,9;779;Северо-Кавказский ФО
Республика Дагестан;14015;10513;79,8;2653;Северо-Кавказский ФО
Кабардино-Балкарская Респ.;6974;4484;64,9;2420;Северо-Кавказский ФО
Респ. Сев.Осетия - Алания;8677;4710;59,2;3242;Северо-Кавказский ФО
Карачаево-Черкесская Респ.;4456;2839;66,7;1420;Северо-Кавказский ФО
Чеченская Республика;2234;1841;80,4;449;Северо-Кавказский ФО
Краснодарский край;74481;32990;44,8;40681;Южный ФО
Астраханская область;12237;7127;58,7;5013;Южный ФО
Волгоградская область;32827;15791;48,5;16738;Южный ФО
Ростовская область;54493;27031;48,9;28249;Южный ФО
Республика Адыгея;3797;2286;61,5;1433;Южный ФО
Республика Калмыкия;2632;1573;63,5;904;Южный ФО
Республика Крым;21089;14022;67,2;6848;Южный ФО
г. Севастополь;6340;3140;40,0;3340;Южный ФО
Республика Башкортостан;52148;25884;50,4;25448;Приволжский ФО
Республика Марий Эл;8300;3899;47,0;4397;Приволжский ФО
Республика Мордовия;7994;4116;53,0;3655;Приволжский ФО
Республика Татарстан;55444;23750;45,1;28915;Приволжский ФО
Удмуртская Республика;24060;12775;53,6;11072;Приволжский ФО
Чувашская Республика;12887;7744;60,5;5052;Приволжский ФО
Кировская область;18698;9952;55,4;7997;Приволжский ФО
Нижегородская область;37463;19549;53,3;17144;Приволжский ФО
Оренбургская область;22205;13268;61,3;8371;Приволжский ФО
Пензенская область;13848;8251;61,5;5159;Приволжский ФО
Пермский край;41902;21363;51,8;19843;Приволжский ФО
Самарская область;47595;25470;55,3;20591;Приволжский ФО
Саратовская область;29387;15330;54,3;12890;Приволжский ФО
Ульяновская область;11591;7061;60,9;4530;Приволжский ФО
Курганская область;13078;8479;65,3;4500;Уральский ФО
Свердловская область;49686;28834;58,6;20376;Уральский ФО
Тюменская обл. (без а/о);24533;12501;53,1;11036;Уральский ФО
Ханты-Мансийский АО-Югра;21034;11104;59,5;7551;Уральский ФО
Ямало-Ненецкий АО;7646;4143;59,8;2787;Уральский ФО
Челябинская область;61603;33918;56,4;26190;Уральский ФО
Республика Алтай;4410;3315;76,0;1049;Сибирский ФО
Республика Тыва;5572;3902;67,1;1917;Сибирский ФО
Республика Хакасия;9330;5149;56,8;3911;Сибирский ФО
Алтайский край;37984;19763;52,0;18268;Сибирский ФО
Красноярский край;50069;23401;49,1;24240;Сибирский ФО
Иркутская область;37177;20613;56,8;15697;Сибирский ФО
Кемеровская область-Кузбасс;43484;24764;56,9;18763;Сибирский ФО
Новосибирская область;44562;19051;43,9;24364;Сибирский ФО
Омская область;24252;13410;56,2;10462;Сибирский ФО
Томская область;19388;10180;53,2;8949;Сибирский ФО
Республика Саха(Якутия);12605;7188;57,5;5307;Дальневосточный ФО
Приморский край;32130;14233;44,2;17959;Дальневосточный ФО
Хабаровский край;21336;10069;48,0;10888;Дальневосточный ФО
Камчатский край;5244;3146;61,5;1967;Дальневосточный ФО
Амурская область;14847;7168;48,1;7734;Дальневосточный ФО
Магаданская область;2553;1295;52,9;1155;Дальневосточный ФО
Сахалинская область;8783;4563;52,7;4095;Дальневосточный ФО
Еврейская АО;2725;1537;55,1;1252;Дальневосточный ФО
Забайкальский край;18441;11287;62,1;6874;Дальневосточный ФО
Республика Бурятия;18932;9210;48,4;9828;Дальневосточный ФО
Чукотский АО;917;496;62,1;303;Дальневосточный ФО
"ФТ ""Сириус""";846;304;45,0;372;Дальневосточный ФО
